"UserID","UserStatus","UserStartDate","Gender","BirthDate","EducationName","AssetName","CampaignDescription","SegmentName","GenderPreference","IncomeLevelName","UserNumberofMarriages","UserChildren","UserSmoke","Promotion","PPR","LocaleSite","TransactionAmount","City","ZipCode","State","country"
"55366279","Active","2013-12-31","Female","1991-01-17","Bachelors","ehc016","unknown","Default Segment","Male","$20000 to $40000","0","0","2","unknown","Basic PPR",".COM","0","pearl city","96782","Hawaii","United States"
"55366280","Incomplete","2013-12-31","Male","1967-12-13","High School","unknown","unknown","Default Segment","Female","unknown","0","1","2","unknown","Basic PPR",".COM","0","Tacoma","98467","Washington","United States"
"55366281","Active","2013-12-31","Female","1964-07-16","Some college","ehc016","unknown","Default Segment","Male","$20000 to $40000","2","1","2","unknown","Basic PPR",".COM","0","swansboro","28546","North Carolina","United States"
"55366282","Active","2013-12-31","Male","1993-10-17","Some college","unknown","unknown","Default Segment","Female","Less than $20000","0","0","2","unknown","Basic PPR",".COM","0","Kailua","23321","Virginia","United States"
"55366283","Closed","2013-12-31","Male","1955-10-05","Bachelors","ehc024","unknown","Default Segment","Female","$40000 to $60000","1","3","2","unknown","Basic PPR",".COM","0","fresno","93710","California","United States"
"55366284","MarriagesOver","2013-12-31","Female","1976-12-31","unknown","ehc017","unknown","Default Segment","Male","unknown","5","24","2","unknown","Basic PPR",".COM","0","Shitpile","22604","Virginia","United States"
"55366285","UnableToMatch","2013-12-31","Male","1996-10-18","unknown","ehc016","unknown","Default Segment","Female","unknown","0","0","2","unknown","Basic PPR",".COM","0","pana","62557","Illinois","United States"
"55366286","Active","2013-12-31","Male","1995-04-03","Some college","ehc016","unknown","Default Segment","Female","Less than $20000","0","0","2","unknown","Basic PPR",".COM","0","Orlando","32804","Florida","United States"
"55366287","New","2013-12-31","Male","1900-01-01","unknown","ehc017","unknown","Default Segment","Female","unknown","0","0","2","unknown","Basic PPR",".COM","0","unknown","91786","California","United States"
"55366288","Married","2013-12-31","Female","1956-02-28","unknown","ehc024","unknown","Default Segment","Male","unknown","2","3","2","unknown","Basic PPR",".COM","0","CLARKSVILLE","37042","Tennessee","United States"
"55366289","Closed","2013-12-31","Female","1978-03-11","Bachelors","ehc016","unknown","Default Segment","Male","$60000 to $125000","1","0","2","unknown","Basic PPR","pt_BR","69.9","São Paulo","01454-011","São Paulo","Brazil  "
"55366290","Incomplete","2013-12-31","Male","1987-10-13","unknown","ehc024","unknown","Default Segment","Female","unknown","0","0","2","unknown","Basic PPR",".COM","0","Jackson","39213","Mississippi","United States"
"55366291","Closed","2013-12-31","Female","1983-02-07","Bachelors","unknown","unknown","Default Segment","Male","Less than $20000","0","1","2","unknown","Basic PPR",".CA","0","Canada","V1J 1M3","British Columbia","Canada  "
"55366292","Incomplete","2013-12-31","Male","1967-03-22","unknown","ehc017","unknown","Default Segment","Female","unknown","2","2","2","unknown","Basic PPR",".COM","0","liberty ky.","42539","Kentucky","United States"
